rootfs on / type rootfs (rw)
sysfs on /kobo/mnt/onboard/onboard/.apps/Sanki/sys type sysfs (rw,nosuid,relatime)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/dev type tmpfs (ro,nosuid,relatime,size=64k)
proc on /kobo/mnt/onboard/onboard/.apps/Sanki/proc type proc (rw,nosuid,relatime)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/etc type tmpfs (ro,nosuid,relatime,size=64k)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/app-temp type tmpfs (rw,nosuid,relatime,size=8192k)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/system-lib type tmpfs (rw,nosuid,relatime,size=64k)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/system-lib/lib type fuse.fuse-overlayfs (rw,nosuid,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
squashfuse on /kobo/mnt/onboard/onboard/.apps/Sanki/system-lib/qt type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/system-lib/qt/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/system-bin type tmpfs (rw,nosuid,relatime,size=64k)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/system-bin/busybox type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
/dev/loop0 on /kobo/mnt/onboard/onboard/.apps/Sanki/app-data type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
sysfs on /kobo/sys type sysfs (rw,relatime)
proc on /kobo/proc type proc (rw,relatime)
tmpfs on /kobo/tmp type tmpfs (rw,relatime,size=131072k)
devtmpfs on /kobo/dev type devtmpfs (rw,nosuid,relatime,size=10240k,nr_inodes=62612,mode=755)
devpts on /kobo/dev/pts type devpts (rw,relatime,mode=600)
fuse-overlayfs on /kobo/external_root type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
devtmpfs on /kobo/external_root/dev type devtmpfs (rw,nosuid,relatime,size=10240k,nr_inodes=62612,mode=755)
devpts on /kobo/external_root/dev/pts type devpts (rw,relatime,mode=600)
proc on /kobo/external_root/proc type proc (rw,relatime)
tmpfs on /kobo/external_root/tmp type tmpfs (rw,relatime,size=16384k)
tmpfs on /kobo/external_root/run type tmpfs (rw,nodev,relatime,size=50796k,mode=755)
fuse-overlayfs on /kobo/external_root/var type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /kobo/external_root/var/log type tmpfs (rw,relatime,size=8192k)
tmpfs on /kobo/external_root/var/db/dhcpcd type tmpfs (rw,nosuid,nodev,noexec,relatime,size=512k)
/dev/mmcblk0p4 on /kobo/external_root/var/db/dhcpcd/duid type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
squashfuse on /kobo/external_root/opt/isa type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)
/dev/loop7 on /kobo/external_root/opt/root type squashfs (ro,nosuid,nodev,noexec,relatime)
/dev/mmcblk0p4 on /kobo/external_root/opt/update type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
/dev/mmcblk0p4 on /kobo/external_root/opt/storage type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
fuse-overlayfs on /kobo/usr/share/zoneinfo type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /kobo/etc/localtime type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /kobo/opt/version type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /kobo/bin/kobo_config.sh type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /kobo/opt/inkbox_device type tmpfs (rw,relatime,size=16384k)
tmpfs on /kobo/external_root/opt/inkbox_device type tmpfs (rw,relatime,size=16384k)
tmpfs on /kobo/external_root/opt/X11/extensions_folders_list type tmpfs (rw,relatime)
tmpfs on /kobo/external_root/opt/X11/extensions_list type tmpfs (rw,relatime)
tmpfs on /kobo/external_root/opt/X11/nographic_extensions_folders_list type tmpfs (rw,relatime)
tmpfs on /kobo/external_root/opt/X11/nographic_extensions_list type tmpfs (rw,relatime)
/dev/mmcblk0p1 on /kobo/external_root/boot type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
/dev/loop5 on /kobo/external_root/lib/modules type squashfs (ro,nosuid,nodev,noexec,relatime)
tmpfs on /kobo/tmp/resolv.conf type tmpfs (rw,relatime,size=16384k)
tmpfs on /kobo/inkbox type tmpfs (rw,relatime)
tmpfs on /kobo/run type tmpfs (rw,relatime,size=131072k)
tmpfs on /etc/init.d/gui_apps type tmpfs (rw,relatime,size=16384k)
/dev/loop0 on /kobo/mnt/onboard/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
squashfuse on /kobo/mnt/onboard/onboard/.apps/Sanki type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
